ID,Nom,Prénom,Âge,Sexe,Email,Pays,Ville,Salaire (€),Date d'embauche,Département,Télétravail (%),Performance (Note)
28,Carr,Kimberly,27,Femme,wnewton@lang.com,Hungary,Haleview,76094.0,2024-06-18,Production,100.0,2.0
29,Durham,Latasha,38,Femme,marissadominguez@hotmail.com,Israel,Angelaton,21185.0,2022-08-27,Production,100.0,4.0
30,Levy,Megan,69,Homme,robinmann@hotmail.com,Venezuela,East Nicole,26347.0,2024-06-23,Logistique,60.0,3.0
31,Woods,Karen,34,Homme,ustewart@bradley-grimes.com,Djibouti,Johnsonmouth,117841.0,2023-08-13,Logistique,60.0,1.0
32,Grimes,Eric,69,Femme,yyoung@yahoo,Sweden,South Danielside,53081.0,2015-10-07,Logistique,20.0,3.0
33,Green,Donna,23,Homme,jonathanallen@glenn.com,Moldova,West Robertbury,95939.0,2024-12-28,RH,80.0,4.0
34,Trujillo,Sandra,33,Homme,marcthomas@yahoo.com,Tajikistan,North Angelaberg,85409.0,2015-05-17,Production,60.0,2.0
35,Dunn,Anna,65,Homme,englishsean@holt.com,Switzerland,New Ryan,30683.0,2017-02-01,Marketing,80.0,3.0
36,Smith,Michael,18,Femme,fernandezrebecca@price-hunt.com,Sri Lanka,Anitaton,39568.0,2019-01-14,Marketing,0.0,2.0
37,Cortez,Stefanie,36,Femme,jessica03@gmail.com,Belgium,Richardmouth,53063.0,2016-02-18,Informatique,80.0,5.0
38,Ross,Anna,53,Femme,gmiller@barker-barnes.com,Saint Lucia,West Michael,37961.0,2015-07-16,RH,80.0,3.0
39,Summers,Robert,42,Homme,boyerdarin@gmail.com,Bermuda,Kennedymouth,115469.0,2021-05-16,Informatique,40.0,2.0
40,Barnett,Christina,67,Femme,kathryngilbert@hotmail.com,United Kingdom,Carolinefurt,108166.0,2018-11-29,Informatique,20.0,3.0
42,Snyder,Jeremy,47,Homme,barberwendy@davis.org,Ghana,East Kyle,111310.0,2023-04-04,Informatique,40.0,4.0
43,Dillon,Alfred,37,Homme,santanajimmy@gmail.com,Gambia,North Rubenside,26211.0,2016-01-24,Finance,0.0,3.0
44,Sanchez,Allison,37,Femme,christopher96@anderson.org,Uruguay,Garciamouth,117311.0,2024-10-05,RH,80.0,4.0
45,Nguyen,Shelly,32,Femme,kenneth29@taylor.com,Luxembourg,Lake Keithborough,103701.0,2019-05-27,Production,100.0,4.0
46,Harrell,Erin,57,Femme,dustin94@gmail.com,Israel,Port Jeffrey,99598.0,2019-08-13,Finance,80.0,4.0
47,Lee,Crystal,50,Femme,rachelbeck@gonzalez.com,Sao Tome and Principe,Shelleyside,49940.0,2017-07-07,Marketing,20.0,3.0
48,Bradley,Courtney,19,Homme,wgregory@hotmail.com,Isle of Man,Port Melanieton,72441.0,2020-11-25,RH,0.0,5.0
49,Allen,Tyler,27,Femme,roachholly@hotmail.com,Guatemala,West Raymond,37088.0,2020-05-25,Marketing,0.0,3.0
51,Pratt,John,49,Homme,fmartinez@williams.com,Latvia,New Courtney,99541.0,2022-09-19,Marketing,0.0,2.0
52,West,Patricia,28,Homme,elizabeth73@hotmail.com,Indonesia,Christineburgh,44720.0,2015-05-05,Production,80.0,5.0
53,Miller,Joshua,41,Femme,craighenry@yahoo.com,Egypt,Jimmyside,118630.0,2015-05-25,Finance,60.0,4.0
55,Romero,Sara,29,Femme,finleyrebekah@gmail.com,Brazil,North Brendamouth,35800.0,2025-02-02,Production,80.0,3.0
56,Cantu,Christian,68,Femme,qthomas@herrera.com,Finland,Port Walterfort,72078.0,2019-08-11,Informatique,,5.0
57,Rodriguez,Shane,46,Femme,ymccann@hotmail.com,Gibraltar,Priceview,109996.0,2022-11-06,RH,0.0,2.0
58,Arnold,Julie,52,Homme,marissa66@martinez.com,Mali,Gonzalezshire,19193.0,2020-11-22,Production,60.0,1.0
59,Mann,Shannon,18,Homme,christina89@clark-harris.com,Austria,South Derekfurt,60826.0,2021-08-17,RH,20.0,4.0
60,Kelley,William,18,Femme,rmartinez@curry-jackson.com,United Kingdom,Michelleport,75446.0,2022-04-15,RH,0.0,5.0
61,Olsen,Lindsay,54,Homme,codygray@clay.com,Germany,Monicaberg,27820.0,2020-10-21,Production,0.0,5.0
62,Fernandez,Janet,23,Femme,travislee@palmer.com,Gabon,Robertsonland,66223.0,2019-07-06,Marketing,60.0,1.0
63,Maynard,Susan,56,Homme,qhancock@hotmail.com,Greece,Lake Malloryfort,84443.0,2015-10-12,Marketing,0.0,3.0
64,Morrison,Frank,58,Femme,belltina@gmail.com,Liechtenstein,Jefferymouth,63639.0,2017-01-01,Production,0.0,3.0
65,Matthews,Sandra,35,Femme,scottholmes@petersen.com,Belarus,Lake Carolyn,98759.0,2015-07-16,RH,0.0,5.0
66,Wallace,Sarah,33,Homme,rdavis@hotmail.com,New Zealand,East Tara,115338.0,2021-01-11,Marketing,40.0,2.0
67,Carlson,Cynthia,22,Femme,umurphy@hotmail.com,Montserrat,Jessicatown,51865.0,2023-06-13,Finance,40.0,4.0
68,Cruz,Shelby,59,Femme,mendezmargaret@yahoo.com,Brunei Darussalam,Castilloland,69032.0,2022-09-23,Informatique,100.0,2.0
69,Johnston,Johnny,60,Femme,michelleortiz@vincent.com,Tajikistan,New Jeffery,53560.0,2018-05-13,Informatique,40.0,4.0
70,Roberts,Nicole,49,Femme,jocelyn21@morris.com,Antigua and Barbuda,Wongberg,76593.0,2019-05-20,Finance,0.0,2.0
71,Lopez,Kiara,19,Femme,adrienne66@johnson-alexander.com,New Caledonia,Johnsonfurt,79243.0,2016-11-19,Finance,20.0,4.0
72,Lopez,Chelsea,19,Femme,mariaburns@richards.biz,Romania,East Rebecca,104734.0,2016-04-25,Finance,100.0,1.0
74,Douglas,Anthony,59,Homme,maryevans@yahoo.com,India,East Williamport,62559.0,2019-08-02,Marketing,20.0,4.0
75,Alvarez,Alex,53,Femme,deborah11@sanchez-williams.org,Egypt,Andreafort,92756.0,2022-07-05,Finance,100.0,4.0
76,Davis,John,56,Femme,vunderwood@scott.com,Afghanistan,Lake Brandytown,81382.0,2015-06-26,Production,20.0,4.0
77,Todd,Kathryn,29,Homme,stephaniesantos@sanchez.com,French Polynesia,New Michael,19716.0,2017-02-23,Logistique,100.0,1.0
78,Mcdowell,Paul,64,Homme,carlosramirez@dean-ray.com,Djibouti,East Stephaniehaven,65170.0,2023-10-08,Informatique,0.0,3.0
79,Mclean,Kimberly,36,Homme,ericksondonald@yahoo.com,Georgia,Harperhaven,103831.0,2023-09-10,Informatique,100.0,3.0
81,Villanueva,Paul,18,Femme,watkinsdouglas@lewis.com,Saint Lucia,Matthewview,44952.0,2024-08-15,Marketing,20.0,3.0
83,Fernandez,Benjamin,53,Homme,kennethwallace@hotmail.com,Italy,Lake Ryan,26527.0,2018-12-23,Production,20.0,3.0
84,Myers,Steven,30,Homme,laurengreen@yahoo.com,Falkland Islands (Malvinas),Michaelchester,111993.0,2017-03-31,Finance,0.0,1.0
85,Thornton,Maria,60,Homme,dustin06@west.net,Bahrain,Lake Meghanborough,116966.0,2018-02-18,RH,20.0,4.0
86,Hill,David,38,Homme,kcarr@hotmail.com,Slovakia (Slovak Republic),Lake Timothy,32809.0,2017-06-27,Finance,60.0,4.0
87,Cain,Jennifer,29,Femme,maryadams@zimmerman-gonzalez.info,Qatar,Turnerside,92969.0,2015-04-18,RH,40.0,5.0
88,Atkinson,Mark,22,Homme,fanderson@yahoo.com,American Samoa,Amyton,39395.0,2017-12-13,Marketing,80.0,3.0
89,Jacobson,Andrew,24,Homme,clarkjose@valencia.com,Czech Republic,Lake Katherine,58766.0,2017-02-04,Logistique,60.0,3.0
90,Lawrence,Thomas,22,Homme,markchan@gmail.com,France,Jennifermouth,26989.0,2016-10-11,Marketing,20.0,4.0
91,Herring,Aimee,65,Femme,michaelle@alexander-mcdaniel.com,Micronesia,Port Wendyberg,29133.0,2024-12-11,Production,20.0,1.0
92,Riley,Bob,21,Femme,lortiz@gmail.com,Angola,Bartonland,40627.0,2024-10-20,Marketing,80.0,5.0
93,Hayes,Ashlee,30,Femme,aanderson@trevino.biz,Barbados,North Sylvia,50282.0,2020-04-06,RH,40.0,2.0
94,Keller,Michael,54,Homme,sbrown@jackson.com,Svalbard & Jan Mayen Islands,Port Charles,29111.0,2024-02-01,Marketing,0.0,4.0
95,Davies,Adam,58,Femme,aaronmorgan@chavez-gonzalez.com,Rwanda,Mackborough,47951.0,2023-03-18,RH,60.0,4.0
96,Stark,James,32,Femme,amy76@gmail.com,Madagascar,West Kristytown,25752.0,2022-02-19,Production,0.0,4.0
97,Leon,Daniel,33,Homme,rodriguezjenny@gardner-mason.com,Namibia,East Alexis,100175.0,2015-05-30,RH,100.0,5.0
98,Miller,Amber,38,Femme,gardnerkeith@sanchez.com,Ethiopia,East Kelly,107955.0,2017-07-07,Finance,0.0,2.0
99,Salazar,Bradley,53,Homme,gabrielscott@hotmail.com,Sweden,New Nancy,57538.0,2019-02-25,Marketing,60.0,2.0
100,Tucker,Sarah,41,Femme,kbush@castro.com,Cape Verde,New Harrymouth,83198.0,2024-11-28,Informatique,100.0,4.0
101,Mccoy,Megan,33,Femme,christopher63@cummings-perez.org,Czech Republic,Huntshire,76890.0,2018-09-24,Finance,0.0,2.0
103,Sanchez,Leroy,39,Homme,justinpalmer@yahoo.com,Dominica,Zacharyport,49231.0,2022-07-08,RH,,2.0
104,Dennis,Rebecca,66,Femme,melvin22@gmail.com,France,South Elizabeth,105391.0,2024-10-31,Logistique,20.0,3.0
105,Wilson,Tracey,67,Femme,dawn57@hotmail.com,Slovakia (Slovak Republic),East Jonathanburgh,47659.0,2022-07-05,Logistique,20.0,4.0
106,Robinson,Kathy,23,Homme,andrewgarcia@hotmail.com,Bahrain,Sarahport,19677.0,2019-06-29,Logistique,40.0,2.0
107,Norton,Joshua,59,Femme,lisabean@rivera.info,Belize,North Shane,39454.0,2019-03-25,Finance,100.0,3.0
108,Cook,Emily,53,Homme,alexander93@gmail.com,Tonga,West Jacobland,89685.0,2025-02-27,Finance,80.0,4.0
109,Cabrera,Caitlin,18,Homme,donnaball@hotmail.com,Turks and Caicos Islands,West Jesus,42983.0,2024-03-09,Finance,20.0,3.0
110,Garcia,Richard,49,Homme,jared60@hotmail.com,Cyprus,West Christopher,89271.0,2015-08-21,Finance,20.0,3.0
111,Thomas,Kevin,23,Femme,jocelyn03@hotmail.com,Kyrgyz Republic,Port Sarah,33409.0,2022-01-17,RH,0.0,2.0
112,Wolfe,Brian,48,Femme,gcole@hotmail.com,Bangladesh,North Charlesside,68533.0,2021-08-30,Marketing,40.0,4.0
113,Williams,David,18,Femme,haaschristopher@yahoo.com,Angola,New Jasonbury,113078.0,2017-09-10,Marketing,80.0,2.0
114,Berry,Dennis,67,Femme,sharrington@hotmail.com,Liechtenstein,Elizabethland,36293.0,2020-12-25,Finance,0.0,2.0
115,Kent,Timothy,68,Femme,todd68@burton.com,Saudi Arabia,Amberchester,74248.0,2017-03-14,Informatique,60.0,3.0
116,Ferguson,Dawn,54,Homme,raymondsummers@yahoo.com,Bulgaria,Perezton,82939.0,2019-06-07,Marketing,40.0,2.0
117,Becker,Kathryn,52,Femme,tkelley@yahoo.com,Saudi Arabia,Port Jodiland,87784.0,2016-07-24,RH,60.0,2.0
118,Johnson,Brandon,66,Homme,benjamin77@jones-perez.com,Guinea,South Meghanstad,103329.0,2018-10-10,RH,40.0,5.0
119,Reid,Madison,47,Homme,vjohnson@white.com,Tunisia,Lake Justinland,80997.0,2021-06-21,Marketing,80.0,4.0
120,Obrien,Bradley,21,Femme,sherryjohnson@mayo.biz,Tunisia,Lake Jaime,106030.0,2022-09-01,RH,20.0,2.0
121,Johnston,Angela,52,Homme,keithalexander@hotmail.com,South Georgia and the South Sandwich Islands,Lake Kimberlyville,63119.0,2017-07-22,RH,80.0,4.0
122,Myers,Julie,60,Femme,timothyhuang@guerrero.com,Tonga,East Shawn,72617.0,2018-04-15,Production,,3.0
123,Wood,Crystal,31,Homme,peter94@yahoo.com,Jamaica,Port Julia,117869.0,2017-03-23,RH,60.0,3.0
124,Hooper,Stephanie,66,Homme,browndebra@yahoo.com,Zambia,East Erin,107381.0,2016-08-07,Marketing,60.0,4.0
125,Johnson,Melvin,57,Homme,jschultz@gray.biz,Hong Kong,East Christian,102913.0,2023-06-07,Marketing,40.0,4.0
126,Smith,Brenda,39,Femme,nortonchristopher@phillips.com,Pakistan,South Darrell,105208.0,2016-02-24,Logistique,40.0,2.0
127,Woodward,Christopher,27,Femme,moorebrittney@harrison.org,Grenada,Steveberg,88129.0,2020-11-09,Logistique,0.0,2.0
128,Lopez,Anita,18,Femme,mezaann@jones.org,Turkey,East Victoria,94138.0,2016-06-19,Informatique,60.0,3.0
129,Martinez,Lisa,28,Femme,lorimichael@miller-wells.info,Singapore,Deborahport,74543.0,2023-07-16,Finance,60.0,2.0
130,Clark,James,68,Homme,taylornathan@dixon-miller.net,Kyrgyz Republic,Michelleberg,119643.0,2016-10-26,Marketing,60.0,4.0
131,Owen,Jose,61,Femme,clintonmoody@kemp-rice.com,Burkina Faso,North Brian,93040.0,2022-02-17,RH,20.0,2.0
132,Giles,Isabella,41,Femme,john12@hotmail.com,New Zealand,South Diane,57105.0,2024-09-04,Logistique,20.0,3.0
133,Johnson,Jon,20,Homme,jill58@yahoo.com,Norway,North Mark,23241.0,2017-01-25,Logistique,40.0,2.0
134,Coleman,Jonathon,52,Homme,smithjonathan@schwartz.com,Netherlands,Lopezview,100293.0,2019-01-09,Informatique,60.0,1.0
135,Garcia,Selena,53,Femme,restrada@yahoo.com,Albania,East Angela,18833.0,2016-12-06,Production,80.0,3.0
136,Green,Yolanda,48,Homme,jacksondiane@morris.info,Serbia,Jonesshire,73332.0,2021-03-21,Logistique,20.0,4.0
137,Walker,Eric,21,Femme,manuel19@vaughn.com,Uruguay,Frazierton,32074.0,2024-09-17,Informatique,60.0,4.0
138,Lucas,Rachel,36,Homme,cgrant@hotmail.com,Congo,Kellyview,20073.0,2024-01-26,RH,20.0,4.0
139,Bell,Angela,64,Femme,phillipburch@yahoo.com,Swaziland,East Jessica,95772.0,2020-01-11,Marketing,40.0,4.0
140,White,Benjamin,53,Homme,samanthawilliams@yahoo.com,Venezuela,East Ericmouth,89752.0,2022-05-30,Informatique,0.0,3.0
141,Gordon,Brenda,38,Femme,deborah04@rios.com,Jordan,North Carlafurt,65628.0,2020-05-26,RH,60.0,2.0
142,Williams,Darlene,35,Homme,sara81@gmail.com,Cuba,Brittanyview,119272.0,2019-09-21,Production,100.0,2.0
143,Garcia,Arthur,68,Femme,monicabishop@gmail.com,Serbia,Grahamfort,48403.0,2017-05-26,Logistique,,3.0
144,Mcneil,Katherine,45,Femme,lisa04@gmail.com,Palau,Lake Jeremy,40922.0,2015-12-08,Informatique,20.0,5.0
145,Gonzalez,Lisa,32,Femme,markwu@aguilar.com,Barbados,North Heathermouth,106583.0,2022-03-08,RH,0.0,4.0
146,Howard,Charles,59,Femme,qliu@watkins-nixon.com,Fiji,North Susan,35332.0,2020-10-06,Finance,,2.0
147,Dennis,Deborah,19,Femme,wisealvin@yahoo.com,Maldives,Jonesfort,33452.0,2017-02-20,Marketing,80.0,3.0
148,Massey,Stephen,54,Femme,obooth@becker.biz,Somalia,Port Ray,115806.0,2020-10-24,RH,20.0,4.0
149,Sellers,John,28,Homme,christinasnyder@martin-shelton.biz,Tanzania,Lake Aliciahaven,36888.0,2024-11-13,Finance,0.0,1.0
150,Jackson,Stephen,40,Femme,johnnyhaynes@gmail.com,Slovenia,North Christy,112254.0,2020-11-10,Marketing,20.0,1.0
151,Chambers,Erik,61,Homme,rhonda21@wright.com,Brazil,East Mark,56115.0,2022-01-24,Logistique,,5.0
152,Levy,Matthew,58,Femme,amanda67@yahoo.com,Netherlands Antilles,Ryanport,53025.0,2018-08-19,Marketing,40.0,5.0
153,Brown,Diana,29,Homme,catherine44@mitchell.net,Gabon,Port Rhonda,84711.0,2016-08-13,Marketing,20.0,3.0
154,Lowe,Thomas,20,Femme,pnelson@bowen-sanford.biz,United Kingdom,Davisbury,105669.0,2018-03-18,Finance,20.0,4.0
155,Bruce,Angela,69,Homme,jennifer00@shelton-price.net,Lao People's Democratic Republic,East Maureen,68357.0,2021-03-24,Informatique,20.0,4.0
156,Peterson,Amy,34,Femme,jwarren@hotmail.com,Philippines,Kellychester,104540.0,2018-01-09,Logistique,60.0,3.0
157,King,Lori,50,Homme,lindafischer@hotmail.com,Hungary,West Mark,83031.0,2024-09-01,Finance,20.0,3.0
158,Carlson,Matthew,18,Femme,kylejones@gmail.com,Romania,Dodsonbury,105471.0,2015-11-04,Finance,60.0,5.0
159,Ramos,Lisa,56,Homme,ffuller@mathis-dalton.com,Congo,North Crystalside,28350.0,2020-08-12,RH,40.0,1.0
160,Thompson,Christopher,37,Homme,travis83@gmail.com,Hong Kong,Brownmouth,108791.0,2016-04-19,RH,0.0,3.0
162,Ortiz,Michael,60,Femme,williamthomas@yahoo.com,Bosnia and Herzegovina,Donaldsonfurt,56547.0,2024-01-31,Finance,20.0,3.0
163,Carroll,Shannon,69,Homme,johnsonthomas@mills.com,Sudan,South Jennifer,52026.0,2024-07-04,Finance,20.0,3.0
164,Romero,Martha,58,Femme,turnersamantha@yahoo.com,Ireland,Douglasport,52669.0,2015-05-20,Production,40.0,1.0
165,Collins,William,31,Femme,riveranicole@hotmail.com,Austria,Michaelstad,23042.0,2021-12-19,Finance,20.0,4.0
166,Howard,Vanessa,48,Femme,diane95@townsend.info,Bahrain,Lake Lisa,99473.0,2017-05-22,Finance,,5.0
167,Monroe,Michelle,42,Femme,fchen@yahoo.com,Suriname,Cassandrabury,67746.0,2024-08-04,Production,40.0,4.0
168,King,David,20,Homme,freynolds@yahoo.com,Ghana,Williamsville,101406.0,2016-11-15,Production,60.0,4.0
169,Castro,Logan,21,Femme,wpacheco@fuller-lee.com,Grenada,Port Duane,81483.0,2023-07-18,Production,20.0,5.0
170,Smith,Andrew,48,Homme,smorris@cooper-martin.com,Gambia,East Daniel,47785.0,2018-12-10,Marketing,40.0,2.0
171,Harmon,Jessica,52,Femme,tylerdavis@hotmail.com,Pitcairn Islands,Milesbury,50869.0,2021-06-16,RH,100.0,2.0
172,Rogers,Andrew,61,Homme,grant52@yahoo.com,Chad,South Ian,45000.0,2020-02-09,Production,0.0,4.0
173,Williams,Norma,31,Femme,rodriguezmarc@yahoo.com,Syrian Arab Republic,Gordontown,71432.0,2015-05-24,Marketing,80.0,1.0
174,Campbell,James,66,Femme,melissa03@hotmail.com,Brunei Darussalam,South Jessicashire,32920.0,2023-05-04,Logistique,40.0,5.0
175,Allen,Robert,58,Homme,geoffreygrant@yahoo.com,Nicaragua,Smithburgh,61042.0,2021-09-16,RH,20.0,4.0
176,Benton,Bryan,26,Femme,marquezpaula@rodriguez.info,Antarctica (the territory South of 60 deg S),Natashahaven,68138.0,2015-10-13,Production,60.0,4.0
177,Bell,Larry,37,Femme,jasminebrown@gmail.com,Dominican Republic,Aliciaborough,59483.0,2015-09-06,Logistique,20.0,5.0
178,Roberts,Perry,49,Femme,conleycathy@campbell.org,Nigeria,Cherylchester,102588.0,2021-09-05,Finance,0.0,1.0
179,Howard,Brett,26,Femme,melissayoder@barrera-schmidt.com,Qatar,North Jessicahaven,119515.0,2016-02-02,Finance,20.0,3.0
180,Arroyo,Katrina,44,Femme,deborahpowell@gmail.com,Oman,South Daniellehaven,28600.0,2019-03-29,RH,20.0,3.0
181,Schultz,Jennifer,20,Femme,lewisabigail@lowe-bryant.com,Palestinian Territory,North Carl,57332.0,2019-11-24,Informatique,80.0,5.0
182,Oliver,Michael,21,Femme,trobles@yahoo.com,Uruguay,Changfort,38350.0,2024-03-21,RH,80.0,3.0
183,Baldwin,Mary,62,Femme,michaelporter@brown.biz,Bermuda,Monicaport,70401.0,2019-07-26,Marketing,0.0,3.0
184,Hughes,Chris,32,Homme,karen15@gonzalez.net,French Polynesia,Port David,38428.0,2023-02-14,Finance,80.0,3.0
185,Perry,Brian,50,Femme,ldalton@hotmail.com,Uruguay,Lake Edwardburgh,56704.0,2020-02-10,Logistique,20.0,4.0
186,Curtis,Michael,22,Homme,kim09@hotmail.com,Argentina,Bradleyshire,104602.0,2017-03-09,Logistique,20.0,4.0
187,Smith,Rachel,21,Femme,james81@gonzales-rodriguez.info,Denmark,Pattonburgh,111323.0,2018-10-28,Finance,80.0,4.0
188,Lee,Katherine,63,Homme,ystewart@yahoo.com,China,East Ryanmouth,98477.0,2022-03-12,Production,100.0,2.0
190,Allen,Anna,40,Homme,hoffmanandrew@hubbard.com,Tokelau,East Adam,119836.0,2022-12-13,Informatique,100.0,5.0
191,Walsh,Linda,31,Femme,elizabeth10@gmail.com,Norfolk Island,Whitetown,53569.0,2020-12-17,Marketing,60.0,3.0
192,Gray,Robert,63,Femme,stephanie89@rollins.com,Montenegro,Jamesside,25463.0,2018-01-31,Marketing,100.0,4.0
193,Hutchinson,Anthony,29,Homme,blackwelljoann@hernandez-harris.org,Israel,Heidiborough,109658.0,2022-11-04,Marketing,40.0,2.0
194,Carroll,Leah,34,Femme,karen47@mills-henry.com,Thailand,East Josephberg,76114.0,2019-11-24,Marketing,100.0,4.0
195,Perry,James,42,Femme,vmoody@yahoo.com,Poland,West Codychester,109513.0,2016-05-11,Informatique,0.0,4.0
196,Morales,Paul,47,Homme,wbraun@yahoo.com,Solomon Islands,Wyattborough,23103.0,2020-08-14,Marketing,20.0,2.0
197,Miles,Michael,39,Femme,maryreeves@powell-stevenson.com,Grenada,New Kendraview,50843.0,2023-03-27,Informatique,20.0,4.0
198,Barnes,David,64,Homme,klee@everett.com,Norway,Danielfurt,19966.0,2024-03-31,RH,0.0,1.0
199,Bates,Michael,43,Homme,dorismartinez@hamilton.com,British Indian Ocean Territory (Chagos Archipelago),New Kathrynland,22090.0,2019-06-01,Logistique,0.0,2.0
200,Williams,Gregory,34,Femme,warnervirginia@sharp.com,Lebanon,East Jerry,54483.0,2024-10-13,Marketing,40.0,3.0
201,Griffin,Christina,37,Homme,michael16@martinez-berry.net,Nauru,Aprilbury,69472.0,2016-08-17,Production,40.0,2.0
202,Green,Denise,51,Femme,kathrynhudson@mitchell.com,Uruguay,Frankmouth,33679.0,2020-01-06,Informatique,100.0,3.0
203,Moore,Alexander,58,Femme,gregorywatts@sparks-nguyen.info,United States Minor Outlying Islands,Johnport,33168.0,2018-07-10,Logistique,100.0,4.0
204,Rose,Stephen,50,Femme,websterrandy@gmail.com,Tajikistan,Nathantown,87414.0,2016-10-10,Logistique,0.0,3.0
205,Freeman,Angela,54,Femme,ryan35@lawrence-murphy.info,Belarus,South Shannonbury,87892.0,2023-05-11,Informatique,20.0,4.0
206,Hoffman,Monica,24,Homme,john05.yahoo.com,Panama,Ashleyberg,98387.0,2015-09-14,Logistique,0.0,2.0
207,Campos,Tyler,39,Femme,castrosherry@conner.com,Honduras,Glennshire,71841.0,2015-12-05,Marketing,100.0,4.0
208,Henson,Christopher,49,Femme,erin71@fuentes-nelson.com,Norway,South Elizabeth,86752.0,2020-05-23,Production,40.0,2.0
209,Simpson,Brett,31,Femme,ztrevino@shepherd-anderson.com,Latvia,South Michelle,85966.0,2018-06-17,Logistique,0.0,4.0
210,Collins,Michelle,25,Homme,catherine77@gmail.com,Saint Vincent and the Grenadines,Douglasmouth,82327.0,2017-02-08,Logistique,80.0,2.0
211,Owens,Krystal,42,Homme,robertjohnson@gmail.com,Netherlands Antilles,Port Nathanville,59624.0,2021-08-15,Production,0.0,4.0
213,Golden,Jose,59,Femme,david85@hotmail.com,Yemen,West Sethmouth,38028.0,2023-08-05,Production,0.0,4.0
214,Burnett,Deborah,36,Femme,davisdaniel@fritz-robbins.com,Uruguay,North Nicholas,60203.0,2017-04-03,Informatique,40.0,1.0
215,Lopez,Cody,58,Femme,wrivera@king.com,Tajikistan,Garciachester,23000.0,2024-10-01,Logistique,20.0,1.0
216,Key,Margaret,33,Femme,ohamilton@hotmail.com,Botswana,Port Jeromeside,48425.0,2020-01-19,Marketing,60.0,1.0
217,Schultz,Matthew,29,Homme,boydcaitlin@yahoo.com,Chile,Richmondborough,57206.0,2018-03-25,Marketing,60.0,5.0
218,Miller,Stephanie,56,Femme,stephaniehart@yahoo.com,Lebanon,Lake Kendraview,85124.0,2020-07-31,Marketing,20.0,2.0
219,Swanson,Thomas,65,Homme,jessicacampbell@gomez.com,Qatar,New Devinview,116017.0,2016-04-18,RH,,5.0
